"Perleberg" (53.0667, 11.8667) 12141
"Bad Fallingbostel" (52.8675, 9.6967) 11852
"Hildburghausen" (50.4261, 10.7289) 11836
"Miesbach" (47.7890, 11.8338) 11562
"Bad Schwalbach" (50.1401, 8.0694) 11187
"Regen" (48.9700, 13.1264) 11001
"Eisenberg" (50.9667, 11.9000) 10885
"Altotting" (48.2264, 12.6759) 10119
"Bad Ems" (50.3381, 7.7106) 9681
"Luchow" (52.9667, 11.1500) 9437
"Miltenberg" (49.7039, 9.2644) 9355
"Wunsiedel" (50.0374, 11.9994) 9259
"Herzberg" (51.6831, 13.2331) 9027
"Plon" (54.1622, 10.4214) 8914
"Schleiz" (50.5833, 11.8167) 8854
"Tirschenreuth" (49.8789, 12.3369) 8707
"Beeskow" (52.1667, 14.2500) 8042
"Daun" (50.1986, 6.8319) 7974
"Simmern" (49.9833, 7.5167) 7950
"Kirchheimbolanden" (49.6664, 8.0117) 7802
"Freyung" (48.8075, 13.5475) 7166
"Birkenfeld" (49.6500, 7.1833) 6984
"Altenkirchen" (50.6872, 7.6456) 6263
"Neustadt" (49.7306, 12.1706) 5727
